user_id	bundle_id
0	1275
0	16092
0	22958
1	9755
1	15246
1	16748
2	8547
2	23065
2	25858
3	9725
3	15246
3	20229
4	19447
4	20797
4	26020
5	1461
5	12212
5	16674
6	13366
6	15633
6	18994
7	5669
7	15147
7	15623
8	3453
8	13703
8	26486
9	964
9	8111
9	12274
10	121
10	5818
10	12681
11	3311
11	10470
11	26913
12	2036
12	7276
12	18196
13	2398
13	8547
13	16465
14	3393
14	12849
14	20509
15	5384
15	23118
15	27074
16	4307
16	11862
16	20706
17	8223
17	16470
17	18436
18	2398
18	5855
18	7628
19	14040
19	16687
19	18994
20	8334
20	21044
20	26308
21	6255
21	17936
21	18481
22	8946
22	9679
22	15650
23	1616
23	7997
23	25794
24	8081
24	9415
24	18861
25	2196
25	6269
25	26981
26	4710
26	24164
26	24250
27	15643
27	16465
27	24801
28	16189
28	16674
28	25329
29	455
29	926
29	22958
30	2892
30	12574
30	24603
31	22
31	5855
31	14882
32	21434
32	23221
32	25352
33	12880
33	22304
33	23073
34	8350
34	20706
34	21873
35	3311
35	16440
35	18436
36	3232
36	9132
36	26705
37	2260
37	9565
37	18727
38	3465
38	19221
38	20314
39	5833
39	20835
39	21194
40	689
40	10858
40	18468
41	20364
41	23118
41	26552
42	993
42	1014
42	16492
43	926
43	20164
43	25253
44	3819
44	18052
44	20461
45	7656
45	12574
45	25939
46	12035
46	16270
46	20264
47	2398
47	5646
47	16092
48	9489
48	10870
48	16809
49	14418
49	21983
49	23516
50	1014
50	4507
50	25282
51	647
51	14746
51	26526
52	3972
52	9708
52	13574
53	1231
53	14383
53	20511
54	18568
54	20364
54	20767
55	8452
55	18175
55	24738
56	10218
56	22918
56	27048
57	11930
57	14724
57	18568
58	1931
58	18378
58	27378
59	7293
59	9947
59	21025
60	8768
60	15197
60	18433
61	6577
61	17192
61	18089
62	137
62	20130
62	20357
63	5196
63	16183
63	26300
64	4000
64	18327
64	21239
65	8946
65	17961
65	20038
66	9068
66	18550
66	20507
67	5206
67	16644
67	23118
68	4561
68	14399
68	24603
69	8224
69	12712
69	23092
70	10017
70	14435
70	23294
71	2598
71	3552
71	8018
72	5153
72	6169
72	12143
73	20860
73	23294
73	27083
74	6412
74	21873
74	24455
75	2605
75	14119
75	20130
76	3552
76	8886
76	9981
77	12143
77	14225
77	19935
78	23989
78	25210
78	27590
79	7453
79	13366
79	18175
80	13344
80	21276
80	23092
81	9620
81	10218
81	24792
82	13479
82	17192
82	26407
83	14986
83	21712
83	26905
84	11924
84	15650
84	25239
85	6682
85	15314
85	25386
86	8463
86	26059
86	26509
87	16022
87	18171
87	25453
88	7710
88	12436
88	16092
89	10802
89	12849
89	19757
90	2398
90	16092
90	26222
91	3460
91	10186
91	12574
92	2398
92	9167
92	20229
93	2315
93	9275
93	13297
94	8893
94	21265
94	21276
95	17213
95	21923
95	23433
96	16470
96	24422
96	24748
97	2681
97	8048
97	10707
98	455
98	15633
98	16092
99	6598
99	7656
99	15567
100	15314
100	22609
100	23299
101	1846
101	4810
101	24164
102	18994
102	25253
102	26223
103	2155
103	23462
103	25810
104	6860
104	7066
104	12590
105	5478
105	6067
105	24590
106	16470
106	23833
106	24784
107	5855
107	16092
107	17580
108	6682
108	19583
108	21519
109	20823
109	22952
109	23951
110	2246
110	4481
110	27247
111	7453
111	13019
111	27404
112	6849
112	14418
112	17248
113	1064
113	8596
113	15545
114	11895
114	21571
114	25858
115	5126
115	23730
115	23926
116	69
116	18984
116	20229
117	2398
117	7917
117	23516
118	18042
118	23814
118	26203
119	7293
119	8452
119	20004
120	5435
120	18141
120	21994
121	2208
121	13366
121	24801
122	15650
122	18674
122	26118
123	2870
123	3973
123	20809
124	12184
124	18477
124	20042
125	7809
125	12217
125	18531
126	545
126	940
126	1096
127	8946
127	10186
127	14162
128	15650
128	20156
128	22381
129	9222
129	23118
129	26486
130	12719
130	13703
130	19182
131	15633
131	16092
131	20384
132	1079
132	13732
132	20682
133	12607
133	13057
133	20293
134	647
134	12743
134	26118
135	398
135	3311
135	26020
136	5854
136	18145
136	20224
137	926
137	10127
137	20945
138	1777
138	3311
138	23893
139	12511
139	21467
139	23671
140	6401
140	16548
140	24325
141	926
141	18736
141	20189
142	5384
142	12741
142	20461
143	18994
143	20224
143	20526
144	19181
144	20156
144	27048
145	446
145	8048
145	20357
146	15850
146	16386
146	26782
147	926
147	10369
147	18417
148	2649
148	24455
148	25915
149	1295
149	24687
149	25406
150	8886
150	12743
150	19525
151	4607
151	13829
151	20499
152	6682
152	20435
152	24636
153	5761
153	15650
153	20806
154	18327
154	22870
154	26059
155	13147
155	25514
155	25858
156	13595
156	22731
156	25115
157	11870
157	15623
157	18481
158	3552
158	7225
158	16644
159	9735
159	15535
159	23227
160	12143
160	13669
160	18861
161	10203
161	11910
161	15310
162	3155
162	4779
162	4945
163	993
163	4026
163	5711
164	8721
164	23092
164	27322
165	6373
165	12303
165	19591
166	12187
166	25100
166	25810
167	15740
167	21430
167	26943
168	2452
168	23549
168	26222
169	9832
169	18989
169	21744
170	12534
170	12911
170	23869
171	672
171	4293
171	19644
172	13385
172	19250
172	19757
173	1090
173	12743
173	12759
174	7362
174	19525
174	23937
175	8018
175	18736
175	21767
176	12620
176	13042
176	14746
177	5181
177	16101
177	26118
178	1484
178	10006
178	20436
179	5711
179	8886
179	9831
180	6598
180	14724
180	23619
181	9565
181	10955
181	19938
182	2398
182	21873
182	25915
183	20851
183	23266
183	26020
184	15732
184	16470
184	24616
185	7023
185	10325
185	21983
186	9725
186	12401
186	20357
187	4000
187	14118
187	25453
188	5384
188	8439
188	10943
189	8418
189	8519
189	27424
190	8886
190	16470
190	27280
191	4387
191	10761
